ID,Title,Severity,Category,Package,Affected_Versions,CVE_ID,CVSS_Score,Project,Is_Direct,Description,Recommendation,Status
DEP-001,Arbitrary Code Execution in protobufjs,P1-CRITICAL,CVE,protobufjs,<=7.6.4,GHSA-xq3m-2v4x-88gg,9.8,platform/orchestrator,false,"Multiple code injection vulnerabilities through bytes field defaults, prototype pollution, and unsafe option paths",Upgrade protobufjs to >=7.5.5 and @grpc/grpc-js to >=1.14.4,UNRESOLVED
DEP-002,JavaScript Injection via AST Type Confusion in Handlebars,P1-CRITICAL,CVE,handlebars,Unknown,GHSA-3mfm-83xf-c92r,Unknown,Source/Backend,false,"Type confusion in handlebars template processing allows arbitrary JavaScript injection",Upgrade handlebars to latest or remove if possible,UNRESOLVED
DEP-003,Critical CVE in Frontend (Unidentified),P1-CRITICAL,CVE,UNKNOWN,Unknown,Unknown,Unknown,Source/Frontend,false,"Audit timed out while identifying critical vulnerability in Frontend dependencies","Rerun npm audit --json on Source/Frontend with full output logging",PENDING
DEP-004,Regular Expression Denial of Service in path-to-regexp,P2-HIGH,CVE,path-to-regexp,<0.1.13,GHSA-37ch-88jc-xwx2,7.5,platform/orchestrator,false,"ReDoS vulnerability in route parameter matching allows high CPU usage via crafted requests",Upgrade path-to-regexp to >=0.1.13 via express update,UNRESOLVED
DEP-005,gRPC Server Crash via Malformed Requests,P2-HIGH,CVE,@grpc/grpc-js,>=1.14.0 <1.14.4,"GHSA-5375-pq7m-f5r2, GHSA-99f4-grh7-6pcq",7.5,platform/orchestrator,false,"Malformed or compressed gRPC messages can crash the server, enabling DoS attacks",Upgrade @grpc/grpc-js to >=1.14.4,UNRESOLVED
DEP-006,Open Redirect in React Router,P2-HIGH,CVE,@remix-run/router,6.26.0-6.22.0,CWE-601,Unknown,Source/Frontend,false,"Same-origin redirect with path starting // causes open redirect via protocol-relative URL reinterpretation",Upgrade react-router-dom to latest version,UNRESOLVED
DEP-007,Brace-Expansion DoS via Exponential Time Expansion,P2-HIGH,CVE,brace-expansion,<1.1.18,"GHSA-f886-m6hf-6m8v, GHSA-3jxr-9vmj-r5cp, GHSA-mh99-v99m-4gvg, GHSA-rgw5-rvv9-x895",7.5,Source/Frontend,false,"Multiple DoS vulnerabilities: zero-step sequence hangs, exponential-time expansion, unbounded intermediate arrays",Upgrade brace-expansion to >=1.1.18,UNRESOLVED
DEP-008,Browserslist Unbounded Memory Growth,P2-HIGH,CVE,browserslist,<=4.28.6,"GHSA-c83g-rgw3-j3cx, GHSA-b7v7-c3n2-gjhm",7.5,Source/Frontend,false,"No cache eviction on distinct query results leads to unbounded memory growth and eventual OOM during build",Upgrade browserslist to latest version,UNRESOLVED
DEP-009,ProtobufJS UTF-8 Decoding Bypass,P3-MODERATE,CVE,@protobufjs/utf8; protobufjs,"<=1.1.0; <=7.6.2",GHSA-q6x5-8v7m-xcrf,5.3,platform/orchestrator,false,"Overlong UTF-8 decoding allows bypass of string validation checks, potential data injection",Update to latest versions,UNRESOLVED
DEP-010,UUID Buffer Bounds Check Missing,P3-MODERATE,CVE,uuid,<11.1.1,GHSA-w5hq-g745-h8pq,7.5,Multiple,true,"Missing buffer bounds check in v3/v5/v6 UUID functions when buffer provided, potential out-of-bounds write",Upgrade uuid to >=11.1.1 in all projects,UNRESOLVED
